Time	CID	Xcord	Ycord	BotID	Energy
1329.13	1	0.00	250.00	1	4182.50000
1329.19	1	0.00	250.00	1	4213.43750
1329.25	1	0.00	250.00	1	4244.37500
1329.31	1	0.00	250.00	1	4275.31250
1329.38	1	0.00	250.00	1	4306.25000
1329.44	1	0.00	250.00	1	4337.18750
1329.50	1	0.00	250.00	1	4368.12500
1329.56	1	0.00	250.00	1	4399.06250
1329.63	1	0.00	250.00	1	4430.00000
1329.69	1	0.00	250.00	1	4460.93750
1329.75	1	0.00	250.00	1	4491.87500
1329.81	1	0.00	250.00	1	4522.81250
1329.88	1	0.00	250.00	1	4553.75000
1329.94	1	0.00	250.00	1	4584.68750
1330.00	1	0.00	250.00	1	4615.62500
1330.06	1	0.00	250.00	1	4646.56250
1330.13	1	0.00	250.00	1	4677.50000
1330.19	1	0.00	250.00	1	4708.43750
1330.25	1	0.00	250.00	1	4739.37500
1330.31	1	0.00	250.00	1	4770.31250
1330.38	1	0.00	250.00	1	4801.25000
1330.44	1	0.00	250.00	1	4832.18750
1330.50	1	0.00	250.00	1	4863.12500
1330.56	1	0.00	250.00	1	4894.06250
1330.63	1	0.00	250.00	1	4925.00000
1330.69	1	0.00	250.00	1	4955.93750
1330.75	1	0.00	250.00	1	4986.87500
1330.81	1	0.00	250.00	1	5017.81250
1330.88	1	0.00	250.00	1	5048.75000
1330.94	1	0.00	250.00	1	5079.68750
1331.00	1	0.00	250.00	1	5110.62500
1331.06	1	0.00	250.00	1	5141.56250
1331.13	1	0.00	250.00	1	5172.50000
1331.19	1	0.00	250.00	1	5203.43750
1331.25	1	0.00	250.00	1	5234.37500
1331.31	1	0.00	250.00	1	5265.31250
1331.38	1	0.00	250.00	1	5296.25000
1331.44	1	0.00	250.00	1	5327.18750
1331.50	1	0.00	250.00	1	5358.12500
1331.56	1	0.00	250.00	1	5389.06250
1331.63	1	0.00	250.00	1	5420.00000
1331.69	1	0.00	250.00	1	5450.93750
1331.75	1	0.00	250.00	1	5481.87500
1331.81	1	0.00	250.00	1	5512.81250
1331.88	1	0.00	250.00	1	5543.75000
1331.94	1	0.00	250.00	1	5574.68750
1332.00	1	0.00	250.00	1	5605.62500
1332.06	1	0.00	250.00	1	5636.56250
1332.13	1	0.00	250.00	1	5667.50000
